"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="8111","立碁","28.75","+2.13","+11","+18.8","+32.5","+29.8","+51.3","+62.4","+40.9","+66.7","19","15.25","15.25","15.25","29.6","29.6","29.6","29.6","-1.18","-0.92","+7.65","+7.24"
="8112","至上","47.65","+1.38","+1.82","+6.12","+7.44","+7.08","+9.29","+8.05","+20.2","+38.5","43.05","41.35","39.25","33.7","48","48","48","49.3","20.6","19.5","+0.33","+0.31"
="8163","達方","48.3","-1.43","-2.72","-1.83","-0.72","+4.77","+11.3","+12.5","+8.66","+5","42.45","38.7","38.7","37.85","50.5","50.5","50.5","52.9","6.01","-0.99","-0.38","-0.85"
="8182","加高","58.1","-3.01","+6.61","+8.19","+2.29","+0.17","+27.7","+18.3","+51.9","+96.9","45.5","40.2","38.05","26.05","64.5","64.5","64.5","64.5","-1.26","-1.42","+5.95","+4.21"
="8183","精星","66.9","-0.89","-3.04","-7.34","-3.6","+5.35","+45.4","+58.2","+57.6","+244","45.05","34.15","34.15","18","73","73","73","73","-0.97","0.81","-1.03","-1.67"
="8201","無敵","17.55","+0.57","-4.62","+2.63","+3.85","+1.15","-1.68","-1.4","+78.4","+77.3","15.95","13.65","9.51","8.74","19.25","19.3","19.3","19.3","0.01","0.36","-1.2","-2.21"
="8215","明基材","38.6","+4.18","+3.76","+3.76","+2.25","-0.39","+2.39","+6.48","+49.3","+38.8","35","30.1","24.5","21.15","42.4","42.4","43.5","43.5","12.8","3.47","-0.21","-0.21"
="8289","泰藝","38.9","-3.95","+1.04","+0.26","-2.63","-5.01","+29.7","+21.4","+113","+234","29.85","26.2","17.75","11.4","46.2","46.2","46.2","46.2","-4.44","-4.88","0","-1.04"
="8358","金居","75.2","-1.31","-1.83","-1.05","-0.4","-4.45","-2.34","+4.16","-8.85","+68.2","74.2","62.4","62.4","41.6","87.8","87.8","92.9","92.9","-14.1","-15.8","+2.91","+2.85"
="9904","寶成","34","+0.15","+2.1","+3.03","+4.62","+0.15","-2.58","+4.62","-8.97","+8.45","32.05","31.8","31.55","27.85","35.3","35.8","40.5","40.5","3.5","-8.56","-0.05","-0.05"
